prey,predator,payoff
D,D,0.8844152123
N,N,0.9736418319
P1,P1,0.9304518693
D,P2,0.8537559384
N,M1,0.9358928905
N,M2,0.9169499066
D,M2,0.8733501135
N,P2,0.9264173591
N,P1,0.9293013072
D,M1,0.9009503450
P1,D,0.9398840052
D,P1,0.9157384462
P1,N,0.9057848791
D,N,0.7681008176
N,D,0.8818675699
P1,P2,0.8958204943
P2,P2,0.9291020937
P1,M2,0.8988211568
P1,M1,0.9246036706
P2,D,0.9020959469
M1,M1,0.9204308341
P2,N,0.9210785156
M1,D,0.9463181823
P2,M1,0.8995836546
M1,N,0.8847550288
M1,P2,0.8885599308
P2,M2,0.9330855613
M1,P1,0.9243364756
P2,P1,0.9014431897
M2,D,0.9004885410
M2,N,0.9355126376
M1,M2,0.8766500766
M2,M2,0.9385839243
M2,P1,0.9166733779
M2,P2,0.9328129709
M2,M1,0.9171943694
