prey,predator,prey_payoff,predator_payoff
D,D,0.3752417314,1.0639157116
N,N,0.3399459375,1.0626142622
P1,P1,0.3452798092,1.0662301267
D,M2,0.3243077022,1.0733135190
N,M2,0.3393935009,1.0523257904
D,P2,0.3259940501,1.0731044322
N,P2,0.3769103331,1.0517720833
N,P1,0.3329195755,1.0536431612
N,M1,0.3755557269,1.0528451821
D,P1,0.3406342501,1.0644089781
D,M1,0.3481965250,1.0624238282
P1,D,0.4158998814,1.0441202001
P1,N,0.3310473866,1.0711965171
D,N,0.1651535204,1.0452104329
N,D,0.6202781761,0.9712332509
P1,P2,0.3019960466,1.0664262565
P1,M2,0.3020047842,1.0629615442
P1,M1,0.3567254126,1.0695717250
P2,P2,0.3550989698,1.0633954294
P2,D,0.3477413848,1.0573325487
M1,M1,0.3504491420,1.0649392470
P2,M2,0.3385977538,1.0605301942
P2,N,0.2860118748,1.0568202179
M1,N,0.2873567458,1.0568732083
M1,D,0.3873843352,1.0552399541
P2,M1,0.3851312426,1.0540039957
M1,P2,0.3029048474,1.0622387595
M1,P1,0.3351589056,1.0616180426
M2,D,0.3493845097,1.0574189094
M2,N,0.3288313636,1.0711332829
P2,P1,0.3133758011,1.0560632214
M1,M2,0.2188961911,1.0483136243
M2,M2,0.3498353758,1.0647054735
M2,P1,0.3830670449,1.0534929218
M2,P2,0.3618497944,1.0679938394
M2,M1,0.2185321649,1.0602608843
