prey,predator,prey_payoff,predator_payoff
D,D,0.2873542525,1.0560777935
N,N,0.3089171191,1.0532083684
P1,P1,0.2925843094,1.0553944957
N,M2,0.2979147431,1.0449452361
D,M2,0.2982118977,1.0649054655
D,M1,0.3004196071,1.0579738374
D,P1,0.2932738138,1.0586497574
N,M1,0.2953558094,1.0513191505
N,P1,0.2905721763,1.0455899263
P1,D,0.2866928658,1.0528972515
P1,N,0.3110264557,1.0634413027
D,P2,0.3054585794,1.0642295199
N,P2,0.3028001065,1.0506743669
D,N,0.3116963202,1.0669202256
N,D,0.2847694777,1.0431682154
P1,P2,0.3048164040,1.0608276553
P1,M2,0.2987590251,1.0582036000
P1,M1,0.2985370888,1.0580155444
P2,P2,0.3034608798,1.0539848089
P2,D,0.2854455945,1.0462635608
M1,M1,0.2978521638,1.0547042593
M1,D,0.2849557591,1.0528687756
P2,N,0.3096061732,1.0565935484
P2,M1,0.2972056098,1.0512780029
P2,M2,0.2974273900,1.0514631689
M1,P1,0.2919226094,1.0521604605
M1,N,0.3115907178,1.0566552556
M1,P2,0.3041304452,1.0574917155
M2,D,0.2871964234,1.0462916665
P2,P1,0.2912768947,1.0487577310
M2,N,0.3090564489,1.0633787410
M1,M2,0.2980962086,1.0549457490
M2,M2,0.2981009809,1.0547181885
M2,P2,0.3041579593,1.0573177817
M2,P1,0.2919490489,1.0519890160
M2,M1,0.2979013208,1.0545864123
