prey,predator,prey_payoff,predator_payoff
N,N,0.3107499550,1.0525454876
D,D,0.3052932131,1.0511432307
P1,P1,0.3005467419,1.0519014523
D,M1,0.2796654477,1.0424300119
D,P2,0.2984571679,1.0655523010
N,M2,0.3189283128,1.0366878940
D,M2,0.2936440808,1.0658103161
N,P1,0.3132058374,1.0372593643
N,P2,0.3612634802,1.0407850604
D,P1,0.2732647401,1.0428507697
P1,D,0.4127636224,0.9911917735
P1,N,0.3230240408,1.0675265562
N,M1,0.3506492360,1.0425537857
N,D,0.6564055351,0.9592953626
D,N,0.1547782119,1.0397221610
P1,P2,0.2680530150,1.0483431887
P1,M2,0.2180833905,1.0403382842
P2,P2,0.3107956951,1.0502581337
P1,M1,0.2931831359,1.0509112318
M1,M1,0.3056873817,1.0511411851
P2,D,0.5373374807,1.0397404382
P2,N,0.2853459358,1.0533909735
P2,M2,0.2776103422,1.0412985001
M1,D,0.4035365902,0.9947097960
M1,N,0.2881768042,1.0535578015
P2,M1,0.3853164431,1.0464944133
M1,P1,0.2742549681,1.0421847182
M1,P2,0.2214591522,1.0403968551
M2,D,0.5404524996,1.0400992958
P2,P1,0.3319704609,1.0502452352
M2,N,0.3207486566,1.0673136109
M1,M2,0.1952003930,1.0273874384
M2,M2,0.3055649014,1.0510617687
M2,P2,0.2972716971,1.0498808171
M2,P1,0.3814470925,1.0486244232
M2,M1,0.2508162420,1.0676760960
