prey,predator,prey_payoff,predator_payoff
D,D,0.3063060443,1.0499209766
N,N,0.3089444992,1.0532062899
P1,P1,0.2973113211,1.0535998990
N,M2,0.2981365730,1.0448594922
D,M2,0.2949122191,1.0621019482
D,P2,0.3020760494,1.0616357882
N,P2,0.3213070195,1.0429755775
D,M1,0.3067906829,1.0546586790
N,P1,0.2908169808,1.0454955912
P1,N,0.3112702740,1.0632993477
D,P1,0.2999454102,1.0553483428
N,M1,0.3141492862,1.0434250141
P1,D,0.3885083908,1.0125665158
D,N,0.1938190101,1.0696318268
N,D,0.5518166902,0.8965911376
P1,P2,0.2978242106,1.0575499838
P1,M2,0.2663995869,1.0618397960
P1,M1,0.3039662737,1.0562229371
P2,P2,0.3078966612,1.0522498646
M1,M1,0.3025479975,1.0528888375
P2,D,0.3006498467,1.0412189238
P2,N,0.3081356390,1.0568784649
M1,N,0.3099017629,1.0569971412
P2,M2,0.3005779429,1.0501469930
M1,D,0.3753773913,1.0176279244
P2,M1,0.3345960513,1.0406786674
M1,P1,0.2952804961,1.0507972260
M1,P2,0.2620249632,1.0653638357
P2,P1,0.2881776365,1.0453492048
M2,D,0.3018154786,1.0415685302
M2,N,0.3092924579,1.0632414691
M1,M2,0.1583778507,1.0510520407
M2,M2,0.3025668074,1.0530029292
M2,P1,0.3317769665,1.0405839000
M2,P2,0.3095053492,1.0555115837
M2,M1,0.2005611483,1.0443029955
