prey,predator,payoff
D,D,0.9990219740
N,N,0.9893503781
P1,P1,0.9983126401
N,M2,0.9896292758
D,M2,0.9888736888
N,M1,0.9959464101
D,M1,0.9888309313
P1,D,0.9925977309
D,P1,0.9927572582
P1,N,0.9946059621
N,P1,0.9951273371
D,P2,0.9885873135
N,P2,0.9913549086
D,N,0.8861957220
N,D,0.9920319472
P1,P2,0.9959511285
P1,M2,0.9911596784
P1,M1,0.9970024897
P2,D,0.9994352449
P2,P2,0.9976349633
M1,M1,0.9982011208
P2,M1,0.9952445552
M1,N,0.9786564971
P2,N,0.9878700638
M1,P1,0.9982625845
M1,D,0.9933963179
M1,P2,0.9910399391
P2,M2,0.9985841184
M2,D,0.9994299479
P2,P1,0.9966630632
M2,N,0.9969552358
M1,M2,0.9591985786
M2,M2,0.9977169093
M2,P1,0.9968802758
M2,P2,0.9961273220
M2,M1,0.9851866120
