prey,predator,prey_payoff,predator_payoff
N,N,1.1201873103,0.8253730460
D,D,1.1067266938,0.8503447884
P1,P1,1.1266076683,0.8380088880
N,M2,1.0858799899,0.8342822342
D,M2,1.1094710464,0.8546688364
D,P2,1.1233388758,0.8490752218
D,P1,1.1406679404,0.8385955767
N,P1,1.0770114132,0.8377614738
N,M1,1.0959845879,0.8324006595
D,M1,1.1508153629,0.8342883214
P1,D,1.0573679271,0.8598586247
N,P2,1.1055732896,0.8286875779
P1,N,1.1463020589,0.8346819950
D,N,1.0891637981,0.8656654045
N,D,1.0688935931,0.8374182636
P1,P2,1.0595925191,0.8664515407
P1,M2,1.0341455198,0.8750701877
P1,M1,1.1407791063,0.8335180670
P2,P2,1.1195704099,0.8299890833
P2,D,1.0847475403,0.8392816518
M1,M1,1.1236051334,0.8337726651
P2,N,1.1124999880,0.8351141354
P2,M2,1.1030654128,0.8351527452
P2,M1,1.1154649169,0.8301476762
M1,P1,1.1075926088,0.8387328715
M1,N,1.1263990559,0.8349366507
M1,D,1.0448096701,0.8598320143
M1,P2,1.0343744746,0.8703522095
M2,N,1.1323891518,0.8348442318
M2,D,1.0981014560,0.8392652851
P2,P1,1.1073512843,0.8327662287
M1,M2,1.0115807181,0.8773741663
M2,M2,1.1225167900,0.8342584607
M2,P1,1.1199755956,0.8340064671
M2,P2,1.1370662493,0.8296123089
M2,M1,1.1234958267,0.8328076448
