prey,predator,prey_payoff,predator_payoff
N,N,1.1337400846,0.8217803894
D,D,1.1074507680,0.8514537885
P1,P1,1.1183729140,0.8427046821
P1,D,1.0805823829,0.8549941703
N,M1,1.0871207615,0.8369664350
D,M2,1.1288071706,0.8486203628
N,P1,1.0546483209,0.8481383929
N,P2,1.0985705615,0.8324093556
D,P2,1.1410724559,0.8437152025
D,P1,1.1453202667,0.8386868528
N,M2,1.0643615152,0.8442815915
P1,N,1.1714299176,0.8269475246
D,M1,1.1547495226,0.8348908470
P1,P2,1.1304884692,0.8401716550
N,D,1.0299019929,0.8545103067
D,N,1.1836439087,0.8293005994
P1,M1,1.1394686963,0.8350283103
P1,M2,1.0988392076,0.8519973129
P2,P2,1.1123187822,0.8343326377
P2,D,1.0637748562,0.8485558786
M1,M1,1.1153614618,0.8384994364
P2,N,1.1463252390,0.8236929662
M1,P1,1.0954928204,0.8455198807
M1,P2,1.0972248689,0.8474445248
P2,M2,1.0917149851,0.8417105699
M1,D,1.0677186564,0.8549859819
M1,N,1.1603992073,0.8236236286
P2,M1,1.1015683510,0.8368251013
P2,P1,1.0883976054,0.8413529069
M2,D,1.0763169776,0.8487489683
M2,N,1.1573710837,0.8270275569
M1,M2,1.0682366991,0.8578877212
M2,M2,1.1153105173,0.8385540149
M2,P1,1.1058428048,0.8405656795
M2,P2,1.1371958807,0.8304851134
M2,M1,1.1161433389,0.8369782627
