prey,predator,prey_payoff,predator_payoff
D,D,1.1502235296,0.8387900525
N,N,1.2057132950,0.7913063338
P1,P1,1.1258521960,0.8416756683
D,M1,1.1623839979,0.8334557951
N,P1,1.0572204527,0.8500598148
D,M2,1.1412667058,0.8459926394
D,P1,1.1525721272,0.8374991996
D,P2,1.1534799499,0.8409454973
N,M2,1.0693313131,0.8449021123
P1,N,1.2524301564,0.7927527284
N,P2,1.1050968244,0.8315292177
P1,D,1.1361109000,0.8374090741
N,M1,1.0922627373,0.8369250246
D,N,1.2698096185,0.7930608162
N,D,1.0824789701,0.8400383268
P1,P2,1.1382398208,0.8393910949
P2,P2,1.1207633020,0.8325739458
P1,M2,1.1075700715,0.8515797997
P1,M1,1.1470450095,0.8335956649
M1,M1,1.1228429485,0.8373519738
P2,D,1.0947090983,0.8411671845
P2,N,1.2225170459,0.7915203310
P2,M2,1.1016718659,0.8397686063
M1,N,1.2373790982,0.7914882650
M1,D,1.1228116049,0.8373307343
P2,M1,1.1068031161,0.8367401238
M1,P2,1.1067774767,0.8464671691
M1,P1,1.1039797891,0.8444332933
P2,P1,1.0917022957,0.8423195250
M2,D,1.1074163833,0.8414006540
M2,N,1.2376343565,0.7927600740
M1,M2,1.0794382391,0.8572258002
M2,M2,1.1237501786,0.8369110324
M2,P1,1.1107362553,0.8406925204
M2,P2,1.1452925743,0.8286426156
M2,M1,1.1264266416,0.8347198631
