prey,predator,prey_payoff,predator_payoff
D,D,1.1124315875,0.8483680811
N,N,1.1060885373,0.8285347907
P1,P1,1.1155779534,0.8415177508
D,P1,1.0935980014,0.8547996804
D,M2,1.1129062058,0.8501669367
N,M2,1.0911794204,0.8311862601
D,M1,1.1049492150,0.8504018089
N,M1,1.0810816177,0.8373966748
D,P2,1.1295368788,0.8436861930
N,P2,1.0921406885,0.8331236022
N,P1,1.0821007064,0.8348265463
P1,N,1.1429476078,0.8334879934
P1,D,1.0827377211,0.8516205101
P1,P2,1.1383770890,0.8348275177
D,N,1.1251057549,0.8446173268
N,D,1.0642261646,0.8396914596
P2,P2,1.1100931720,0.8330507986
P1,M1,1.1195259401,0.8407665887
P1,M2,1.1217673925,0.8402267569
P2,D,1.0821424947,0.8403529702
M1,M1,1.1138276711,0.8369360146
P2,N,1.1182081645,0.8306108475
M1,P1,1.0845546432,0.8460193254
P2,M2,1.0798852584,0.8425588760
M1,D,1.0696807440,0.8516661651
M1,N,1.1317101163,0.8306446471
P2,M1,1.0847826645,0.8410231999
M1,P2,1.1223346646,0.8347041148
M2,D,1.0957155553,0.8402377586
M2,N,1.1291300600,0.8336037853
P2,P1,1.0744672340,0.8438352327
M1,M2,1.0847033913,0.8461486705
M2,M2,1.1118343920,0.8376513792
M2,P2,1.1166044546,0.8366735821
M2,P1,1.0886966544,0.8447862753
M2,M1,1.0746008962,0.8500151063
