prey,predator,prey_payoff,predator_payoff
N,N,1.1588923859,0.8095409787
D,D,1.1073392243,0.8489566490
P1,P1,1.1348412183,0.8358451615
D,M2,1.1044642569,0.8580692982
N,M2,1.1139617135,0.8256092775
D,P1,1.1466046123,0.8370696935
N,P2,1.1272009737,0.8219694592
D,P2,1.1166548577,0.8529863705
N,P1,1.1046776511,0.8295741941
N,M1,1.1177165854,0.8259816844
D,M1,1.1558191212,0.8330710903
P1,D,1.0620564384,0.8620793122
P1,N,1.2117207914,0.8096754549
D,N,1.2108444680,0.8198386413
N,D,1.0831525383,0.8339302841
P1,P2,0.9859815644,0.8964294738
P1,M2,0.9535458077,0.9080435992
P1,M1,1.1499271457,0.8308644845
P2,P2,1.1274075451,0.8277235846
P2,D,1.1000448474,0.8364610858
M1,M1,1.1317781571,0.8314506346
P2,N,1.1829190777,0.8089059615
P2,M2,1.1122969974,0.8326867745
M1,D,1.0493686983,0.8621368110
M1,N,1.1973076375,0.8089022079
M1,P2,0.9543515049,0.9031489349
P2,M1,1.1552573717,0.8164871458
M1,P1,1.1168508561,0.8363414990
M2,D,1.1135287441,0.8364551036
M2,N,1.1973589260,0.8096765973
P2,P1,1.1531996994,0.8165776992
M1,M2,0.9218480210,0.9143558105
M2,M2,1.1304428897,0.8321278003
M2,P2,1.1457025870,0.8270778967
M2,P1,1.1603743282,0.8203535597
M2,M1,1.1620181989,0.8204579311
