w1,w2,run_directory,remaining_pipeline_script,equilibrium_count,prey_consensus_leader,prey_consensus_probability_mean,prey_consensus_probability_min,prey_consensus_probability_max,prey_support_size_min,prey_support_size_max,prey_normalized_entropy_mean,predator_consensus_leader,predator_consensus_probability_mean,predator_consensus_probability_min,predator_consensus_probability_max,predator_support_size_min,predator_support_size_max,predator_normalized_entropy_mean,prey_expected_payoff_mean,prey_expected_payoff_min,prey_expected_payoff_max,predator_expected_payoff_mean,predator_expected_payoff_min,predator_expected_payoff_max
0,0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0/run_remaining_pipeline.sh,1,D,0.5691097452,0.5691097452,0.5691097452,4,4,0.6168176200,M2,0.3744295619,0.3744295619,0.3744295619,4,4,0.7398919740,0.7141769463,0.7141769463,0.7141769463,1.1227563005,1.1227563005,1.1227563005
0,0.25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0p25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0p25/run_remaining_pipeline.sh,1,D,0.7054750391,0.7054750391,0.7054750391,4,4,0.4372601896,M2,0.4470261248,0.4470261248,0.4470261248,4,4,0.6796281955,0.7264014924,0.7264014924,0.7264014924,1.1186634258,1.1186634258,1.1186634258
0,0.5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0p5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0p5/run_remaining_pipeline.sh,1,D,0.7698701834,0.7698701834,0.7698701834,2,2,0.3010633748,D,0.5317049369,0.5317049369,0.5317049369,2,2,0.3857300251,0.7440780933,0.7440780933,0.7440780933,1.1098035825,1.1098035825,1.1098035825
0,0.75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0p75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_0p75/run_remaining_pipeline.sh,1,D,0.9619235032,0.9619235032,0.9619235032,2,2,0.0902923746,M2,0.6471263459,0.6471263459,0.6471263459,2,2,0.3623295583,0.7576874646,0.7576874646,0.7576874646,1.1038258759,1.1038258759,1.1038258759
0,1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0__w2_1/run_remaining_pipeline.sh,1,D,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,D,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,0.7661220331,0.7661220331,0.7661220331,1.0987516663,1.0987516663,1.0987516663
0.25,0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0/run_remaining_pipeline.sh,1,M2,0.5971466817,0.5971466817,0.5971466817,3,3,0.5209911394,N,0.5574578896,0.5574578896,0.5574578896,3,3,0.5019258666,0.7241371893,0.7241371893,0.7241371893,1.1153839608,1.1153839608,1.1153839608
0.25,0.25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0p25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0p25/run_remaining_pipeline.sh,1,M2,0.4358935233,0.4358935233,0.4358935233,3,3,0.6004782532,D,0.5646250138,0.5646250138,0.5646250138,3,3,0.5501065144,0.7321962941,0.7321962941,0.7321962941,1.1097545676,1.1097545676,1.1097545676
0.25,0.5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0p5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0p5/run_remaining_pipeline.sh,1,M2,0.4785711783,0.4785711783,0.4785711783,3,3,0.5684688386,D,0.5449519242,0.5449519242,0.5449519242,3,3,0.5542733136,0.7463336137,0.7463336137,0.7463336137,1.1024338312,1.1024338312,1.1024338312
0.25,0.75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0p75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_0p75/run_remaining_pipeline.sh,1,M2,0.5259420043,0.5259420043,0.5259420043,2,2,0.3861012668,D,0.5630981162,0.5630981162,0.5630981162,2,2,0.3823968434,0.7587757678,0.7587757678,0.7587757678,1.0990890781,1.0990890781,1.0990890781
0.25,1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p25__w2_1/run_remaining_pipeline.sh,1,D,0.8461289575,0.8461289575,0.8461289575,2,2,0.2396334194,D,0.5303666105,0.5303666105,0.5303666105,2,2,0.3858228713,0.7708468549,0.7708468549,0.7708468549,1.0966117151,1.0966117151,1.0966117151
0.5,0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0/run_remaining_pipeline.sh,1,N,0.3995342995,0.3995342995,0.3995342995,4,4,0.6821855814,P1,0.5724674096,0.5724674096,0.5724674096,4,4,0.6094252101,0.7228014422,0.7228014422,0.7228014422,1.1116487067,1.1116487067,1.1116487067
0.5,0.25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0p25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0p25/run_remaining_pipeline.sh,1,M2,0.6387021818,0.6387021818,0.6387021818,3,3,0.5039301309,P1,0.7988166031,0.7988166031,0.7988166031,3,3,0.2961689600,0.7317972155,0.7317972155,0.7317972155,1.1092027422,1.1092027422,1.1092027422
0.5,0.5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0p5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0p5/run_remaining_pipeline.sh,1,M2,0.7146839365,0.7146839365,0.7146839365,4,4,0.4929180736,M1,0.6453788032,0.6453788032,0.6453788032,4,4,0.5692784937,0.7458854032,0.7458854032,0.7458854032,1.1034115375,1.1034115375,1.1034115375
0.5,0.75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0p75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_0p75/run_remaining_pipeline.sh,1,M2,0.6649247656,0.6649247656,0.6649247656,2,2,0.3559153737,D,0.6410774408,0.6410774408,0.6410774408,2,2,0.3643322471,0.7608932449,0.7608932449,0.7608932449,1.0966008374,1.0966008374,1.0966008374
0.5,1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p5__w2_1/run_remaining_pipeline.sh,1,M2,0.5469213008,0.5469213008,0.5469213008,2,2,0.3843917054,D,0.8511216199,0.8511216199,0.8511216199,2,2,0.2348298354,0.7652735095,0.7652735095,0.7652735095,1.0949640368,1.0949640368,1.0949640368
0.75,0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0/run_remaining_pipeline.sh,1,N,0.5765114563,0.5765114563,0.5765114563,3,3,0.5197868741,P1,0.6832580193,0.6832580193,0.6832580193,3,3,0.4702316641,0.7094240174,0.7094240174,0.7094240174,1.1158735658,1.1158735658,1.1158735658
0.75,0.25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0p25,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0p25/run_remaining_pipeline.sh,1,N,0.4721756660,0.4721756660,0.4721756660,3,3,0.5454499423,P1,0.8167330963,0.8167330963,0.8167330963,3,3,0.2945198272,0.7154904283,0.7154904283,0.7154904283,1.1141722816,1.1141722816,1.1141722816
0.75,0.5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0p5,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0p5/run_remaining_pipeline.sh,1,M2,0.8692615783,0.8692615783,0.8692615783,2,2,0.2164286086,P1,0.9016091757,0.9016091757,0.9016091757,2,2,0.1794508714,0.7349458140,0.7349458140,0.7349458140,1.1089954016,1.1089954016,1.1089954016
0.75,0.75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0p75,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_0p75/run_remaining_pipeline.sh,1,M2,0.8389831150,0.8389831150,0.8389831150,2,2,0.2463233898,D,0.8293798441,0.8293798441,0.8293798441,2,2,0.2549829904,0.7541326309,0.7541326309,0.7541326309,1.0979290527,1.0979290527,1.0979290527
0.75,1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_1,/home/tim/Documents/Spacial Modeling of Animal Displacment/script/reproduce_day_night/GameTheory/output/pop_int/asym_weight_sweep/weight_runs/w1_0p75__w2_1/run_remaining_pipeline.sh,1,M2,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,D,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,0.7612461032,0.7612461032,0.7612461032,1.0929887629,1.0929887629,1.0929887629
