prey,predator,prey_payoff,predator_payoff
D,D,0.7552148426,1.1036201156
N,N,0.8150627120,1.0643251532
P1,P1,0.7647589446,1.0961754514
N,M2,0.7600085750,1.0868292002
D,M2,0.7590357688,1.1044383632
D,M1,0.7874584311,1.0886006628
P1,N,0.8205904330,1.0726696884
D,P2,0.7732060172,1.0973062057
N,P2,0.7904452637,1.0744428795
P1,D,0.6990027877,1.1269268513
D,P1,0.7745906278,1.0952770956
N,M1,0.7739883454,1.0831048463
N,P1,0.7458765504,1.0942171781
D,N,0.7970395773,1.0885930473
N,D,0.6075788831,1.1618656666
P1,P2,0.7837169370,1.0882470369
P1,M1,0.7823037843,1.0886219699
P1,M2,0.7517415162,1.1025493662
P2,P2,0.7841119044,1.0812418935
P2,D,0.7225214670,1.1086574001
M1,M1,0.7738985597,1.0890998622
P2,M2,0.7504246139,1.0964768732
M1,D,0.6955253050,1.1266159892
P2,N,0.8150051820,1.0683443869
M1,P1,0.7406831235,1.1040356801
P2,M1,0.7790748720,1.0830684732
M1,N,0.8200014136,1.0683775077
M1,P2,0.7612315218,1.0955008992
M2,D,0.7260710771,1.1090239806
M2,N,0.8155448777,1.0726740447
P2,P1,0.7632319606,1.0897871801
M1,M2,0.6861660610,1.1298911659
M2,M2,0.7749276685,1.0883526568
M2,P2,0.7938384308,1.0800406094
M2,P1,0.7713930453,1.0894586522
M2,M1,0.7677780210,1.0931748339
