prey,predator,prey_payoff,predator_payoff
N,N,0.8303247014,1.0566195562
D,D,0.7665950804,1.0983072885
P1,P1,0.7577948976,1.0996590317
N,M2,0.7385249188,1.0974426387
D,P2,0.7505067973,1.1089654783
D,M2,0.7355133904,1.1165156160
N,P1,0.7248589210,1.1044729386
D,P1,0.6935530097,1.1361090698
D,M1,0.7091495128,1.1282823926
N,P2,0.7756892435,1.0815755500
P1,D,0.6671713121,1.1437200750
N,M1,0.7615506110,1.0888471858
P1,N,0.8507896250,1.0575859388
D,N,0.5711415969,1.2059136422
N,D,0.6794764359,1.1240864985
P1,P2,0.6588132085,1.1487289649
P1,M2,0.5957063577,1.1781370080
P1,M1,0.7789700456,1.0901413347
P2,P2,0.7766451466,1.0850867797
P2,D,0.7464246132,1.0978676192
M1,M1,0.7672017926,1.0924860468
P2,M2,0.7313048683,1.1062343494
P2,N,0.7195646964,1.1200236551
M1,P1,0.7222767654,1.1133065817
M1,D,0.6632333860,1.1437801159
P2,M1,0.7796870539,1.0831041654
M1,N,0.7232269224,1.1205101749
M1,P2,0.6062143974,1.1712670583
M2,D,0.7508467270,1.0978564621
M2,N,0.8456650125,1.0575269781
P2,P1,0.6675808298,1.1394343083
M1,M2,0.4035989577,1.2661161235
M2,M2,0.7672159872,1.0922810071
M2,P1,0.7701053190,1.0906015782
M2,P2,0.7885818840,1.0826321998
M2,M1,0.7948597919,1.0787079328
