prey,predator,prey_payoff,predator_payoff
D,D,0.7556762643,1.1037303701
N,N,0.9227585014,1.0091403462
P1,P1,0.7567169780,1.0997613367
D,M2,0.7596667327,1.1045609666
N,M2,0.7581120732,1.0888099819
D,P1,0.7935783187,1.0855686082
P1,N,0.9697746401,0.9960461870
D,P2,0.7739883343,1.0971761903
D,M1,0.8062134627,1.0788994917
N,P1,0.7439735642,1.0961505585
N,P2,0.7892195475,1.0754344991
P1,D,0.6227455235,1.1655607413
N,M1,0.7748889677,1.0828864398
D,N,0.9854971711,0.9925996503
N,D,0.6953666824,1.1168744451
P1,P2,0.7303561731,1.1133795777
P1,M1,0.7774628340,1.0904913669
P1,M2,0.6926162786,1.1303896803
P2,P2,0.7756010839,1.0851648008
P2,D,0.7568026433,1.0929789618
M1,M1,0.7662026535,1.0924925673
P2,N,0.9678784548,0.9899505678
P2,M2,0.7549533204,1.0944227727
M1,P1,0.7458334259,1.1015850729
M1,N,0.9738582579,0.9899533797
M1,D,0.6191522478,1.1655758148
P2,M1,0.8177545710,1.0638323484
M1,P2,0.7018994639,1.1236826484
M2,N,0.9638565966,0.9960447287
M2,D,0.7612461032,1.0929887629
P2,P1,0.8075447566,1.0684301309
M1,M2,0.6592196908,1.1429862281
M2,M2,0.7660692322,1.0924671103
M2,P2,0.7871019419,1.0830249456
M2,P1,0.8094349455,1.0708553529
M2,M1,0.8193826931,1.0664240856
