prey,predator,prey_payoff,predator_payoff
N,N,0.8946844778,1.0235701919
N,M2,0.7466344392,1.0949948372
N,P1,0.7318320621,1.1026959941
N,P2,0.7741614027,1.0835805745
N,M1,0.7591905451,1.0913766073
P1,P1,0.7509652942,1.1023045831
D,D,0.7430487093,1.1096599169
N,D,0.6466567215,1.1420539921
P1,D,0.5748682084,1.1899388451
D,P1,0.7950882627,1.0838049790
D,M1,0.8044328478,1.0789782499
P2,D,0.7442016509,1.0997968490
P1,M1,0.7691197866,1.0943361074
P2,M1,0.8175755785,1.0639995824
P2,P2,0.7696068208,1.0879021785
P2,P1,0.8094357028,1.0674992566
P2,M2,0.7509481932,1.0961654577
M1,D,0.5716072014,1.1899406056
M1,P1,0.7419517729,1.1032227642
M2,D,0.7485886014,1.0997968660
M1,M1,0.7603496257,1.0951066089
M2,P1,0.8090733695,1.0711205088
M2,P2,0.7785934472,1.0870172411
M2,M1,0.8162222877,1.0681840861
M2,M2,0.7601752015,1.0951336386
P1,P2,0.7110024360,1.1227003579
M1,P2,0.6827261426,1.1330210097
M1,M2,0.6377314582,1.1535435867
P1,M2,0.6737026524,1.1395055309
D,P2,0.7572765203,1.1058252983
P1,N,0.9601128128,1.0008237245
D,M2,0.7427646270,1.1132875950
M1,N,0.9696941244,0.9920326564
P2,N,0.9637430696,0.9920411904
M2,N,0.9542249224,1.0008507311
D,N,0.9836264373,0.9935521071
