prey,predator,prey_payoff,predator_payoff
D,D,0.7658885617,1.0982702989
N,N,0.8054079136,1.0672039004
P1,P1,0.7760641443,1.0902784200
P1,N,0.8199759360,1.0710114760
D,M2,0.7953096604,1.0868650019
N,M2,0.7768877999,1.0788601839
D,P1,0.7809634831,1.0915742678
D,P2,0.8094797169,1.0793818097
N,M1,0.7758146374,1.0814725972
D,M1,0.7950459272,1.0841377765
N,P1,0.7624597504,1.0863108192
N,P2,0.7903212715,1.0739810408
P1,D,0.7612211452,1.0969362043
P1,P2,0.8044795417,1.0779804465
D,N,0.8252185112,1.0723710057
N,D,0.7480105249,1.0927848415
P1,M2,0.7905701978,1.0841614491
P2,P2,0.7952061244,1.0753432721
P1,M1,0.7898898329,1.0841399269
M1,M1,0.7853559865,1.0829444096
P2,D,0.7525705805,1.0940816538
P2,N,0.8105286836,1.0685255959
P2,M2,0.7815236189,1.0814855078
M1,D,0.7567829684,1.0969373609
M1,N,0.8155503573,1.0685334990
M1,P1,0.7717346695,1.0890499006
P2,M1,0.7808458524,1.0814704781
M1,P2,0.7999251030,1.0767882914
M2,N,0.8149559810,1.0710034568
M2,D,0.7570116951,1.0940805142
P2,P1,0.7672455072,1.0875705535
M1,M2,0.7862209779,1.0829360948
M2,M2,0.7858753458,1.0827093999
M2,P2,0.7997629710,1.0765339860
M2,P1,0.7715774836,1.0887975893
M2,M1,0.7853821026,1.0826645341
