prey,predator,prey_payoff,predator_payoff
D,D,0.7802218481,1.0917969646
N,N,0.7888539236,1.0731214964
P1,P1,0.8041870700,1.0771178487
N,P2,0.7389122926,1.0936394025
N,M1,0.7249866947,1.1002664105
N,M2,0.6866227879,1.1161388773
D,M2,0.7831798270,1.0947657333
N,P1,0.6756408138,1.1211515277
P1,N,0.8576425571,1.0540686094
D,P1,0.8259375397,1.0696634118
D,M1,0.8389710321,1.0624341009
D,P2,0.7985968038,1.0867268269
P1,D,0.7565428665,1.0981175644
N,D,0.7198655182,1.0926602339
D,N,0.7982971886,1.0896232128
P1,P2,0.7808871170,1.0906034768
P1,M2,0.7481074013,1.1056335737
P2,P2,0.8210733958,1.0630153573
P2,D,0.7523763152,1.0892190077
P1,M1,0.8244768188,1.0673762444
M1,M1,0.8127425242,1.0700094429
P2,N,0.8455457294,1.0525043239
P2,M2,0.7967461798,1.0745377521
M1,D,0.7521962260,1.0980895769
M1,N,0.8509354693,1.0524503753
M1,P1,0.7889837066,1.0812232252
P2,M1,0.7326069658,1.1002967936
M1,P2,0.7588134912,1.0979087903
M2,D,0.7567465559,1.0892582351
P2,P1,0.7253921405,1.1036767013
M2,N,0.8522858154,1.0541141569
M1,M2,0.7168442797,1.1170264851
M2,M2,0.8124640175,1.0701568801
M2,P1,0.7272583385,1.1056015887
M2,P2,0.8333175740,1.0601145758
M2,M1,0.7334758629,1.1027365962
