prey,predator,prey_payoff,predator_payoff
D,D,0.7872973586,1.0890520793
N,N,0.8478536794,1.0484653963
P1,P1,0.8203928260,1.0700061386
D,M2,0.8042569919,1.0846319456
N,M2,0.8082191101,1.0647639764
D,P1,0.8269262791,1.0698928444
P1,N,0.8486577423,1.0591777483
D,M1,0.8404610948,1.0625258105
N,P2,0.8339140678,1.0534446660
N,P1,0.7965873978,1.0708501696
D,P2,0.8201217842,1.0762122866
P1,D,0.7397838742,1.1073362289
N,M1,0.8211072870,1.0601320596
N,D,0.7998152968,1.0656871236
D,N,0.7897689561,1.0942213735
P1,P2,0.7630119475,1.1015928143
P1,M2,0.7317172013,1.1166665218
P2,P2,0.8374298496,1.0556613888
P1,M1,0.8388427731,1.0613933171
P2,D,0.7989622374,1.0717130067
M1,M1,0.8292310589,1.0627171177
M1,N,0.8365999648,1.0607693424
P2,N,0.8312914322,1.0608557521
P2,M1,0.8300045860,1.0582612537
M1,D,0.7354913965,1.1073297467
P2,M2,0.8155207993,1.0658657201
M1,P1,0.8078907220,1.0725995186
M1,P2,0.7420994905,1.1090985159
M2,D,0.8036833831,1.0717186959
P2,P1,0.8194818569,1.0631475932
M2,N,0.8433527665,1.0592406265
M1,M2,0.7150936753,1.1214846528
M2,M2,0.8285405276,1.0629823311
M2,P2,0.8474597563,1.0541081678
M2,P1,0.8225293530,1.0649976042
M2,M1,0.8270360665,1.0629097310
