prey,predator,prey_payoff,predator_payoff
D,D,1.1531074000,0.8370706399
N,N,1.2041141054,0.7919147589
P1,P1,1.1336728248,0.8382474362
D,M2,1.1463168695,0.8436388777
D,P2,1.1583757862,0.8386348394
N,M2,1.0764757949,0.8418785208
D,P1,1.1611022514,0.8337402346
D,M1,1.1706533954,0.8297756305
P1,N,1.2518221327,0.7929741487
N,M1,1.0982983652,0.8343970406
P1,D,1.1399420853,0.8353371203
N,P2,1.1105490138,0.8292430144
N,P1,1.0648094482,0.8468562471
D,N,1.2711588860,0.7925414728
N,D,1.0898292448,0.8369120751
P1,P2,1.1306574168,0.8426382611
P1,M2,1.0992550898,0.8550820318
P2,N,1.2230029466,0.7913282936
P1,M1,1.1529435528,0.8310416609
P2,P2,1.1274037601,0.8295758391
P2,D,1.1058379074,0.8362764889
M1,M1,1.1305194385,0.8339228507
P2,M1,1.1174885900,0.8321404078
M1,N,1.2378631750,0.7912988311
P2,M2,1.1100114421,0.8359864746
M1,D,1.1266043601,0.8352486966
M1,P1,1.1133715967,0.8402173108
P2,P1,1.1056349171,0.8363414086
M1,P2,1.0989187382,0.8498004705
M2,N,1.2370324349,0.7929819120
M2,D,1.1187715321,0.8364859004
M1,M2,1.0708658663,0.8607827044
M2,M2,1.1305293469,0.8339127896
M2,P1,1.1220139597,0.8359212211
M2,P2,1.1501718631,0.8265173642
M2,M1,1.1341852356,0.8314923872
