prey,predator,prey_payoff,predator_payoff
D,D,1.0831331664,0.8575718510
N,N,1.1304347644,0.8207904941
P1,P1,1.1188792403,0.8403225862
D,M2,1.0716191743,0.8696100668
N,M2,1.0816080245,0.8365699185
N,P2,1.1012164400,0.8312237257
P1,N,1.1518008158,0.8323866877
D,P1,1.1233635662,0.8442167996
D,M1,1.1298430101,0.8417655252
N,P1,1.0717334274,0.8405649486
N,M1,1.0910291916,0.8353364647
P1,D,0.9976302644,0.8777334018
D,P2,1.0883663011,0.8625501646
D,N,1.0535727462,0.8805971686
N,D,1.0405925973,0.8480380849
P1,P2,0.9453126117,0.9097014528
P1,M2,0.9262537328,0.9155285973
P1,M1,1.1335323653,0.8358770811
P2,P2,1.1122252796,0.8322724369
P2,D,1.0807885907,0.8407851352
M1,M1,1.1161736989,0.8360176696
P2,M2,1.0934967824,0.8380407184
P2,N,1.1049175071,0.8381783499
M1,D,0.9857216741,0.8777324935
M1,N,1.1186790980,0.8380280265
P2,M1,1.1229154569,0.8276778457
M1,P1,1.0977748806,0.8416550329
M1,P2,0.9275166918,0.9110796543
M2,D,1.0940378013,0.8407809769
P2,P1,1.1136084098,0.8304555642
M2,N,1.1379009099,0.8325165572
M1,M2,0.9337740097,0.9063709959
M2,M2,1.1148910205,0.8366036237
M2,P1,1.1279831903,0.8312965858
M2,P2,1.1297678823,0.8320679508
M2,M1,1.1332345154,0.8299431533
