prey,predator,prey_payoff,predator_payoff
N,N,1.0963663714,0.8336614671
P1,P1,1.1219130219,0.8391248057
D,D,1.1834118503,0.8181184238
N,M2,1.0469539410,0.8491167553
D,M2,1.0103184803,0.8911940427
N,P2,1.0770967854,0.8404581727
P1,D,1.0716965697,0.8534243420
N,P1,1.0356806517,0.8535667917
N,M1,1.0657082432,0.8449744528
D,M1,1.0800970306,0.8591571152
P1,N,1.1564732931,0.8286946639
D,P1,1.0670925494,0.8638471611
D,P2,1.0387757355,0.8800762627
N,D,1.0074549753,0.8618809784
D,N,1.0028398666,0.8949294423
P1,P2,1.1458016268,0.8323134058
P1,M1,1.1403710610,0.8337070658
P2,P2,1.1161511975,0.8306579972
P1,M2,1.1235615879,0.8387163566
M1,M1,1.1205522869,0.8344516320
P2,D,1.0801653694,0.8410867515
P2,N,1.1190273238,0.8295612065
M1,P1,1.0726396774,0.8486460642
P2,M2,1.0677556947,0.8451361490
M1,D,1.0588972715,0.8534241607
M1,P2,1.1233927767,0.8337135832
M1,N,1.1332247953,0.8292683068
P2,M1,1.0805215338,0.8429264184
M2,D,1.0933904780,0.8410893684
P2,P1,1.0440714361,0.8544120593
M2,N,1.1425931470,0.8287783923
M1,M2,1.0623826684,0.8524322343
M2,M2,1.1174349789,0.8353788667
M2,P1,1.0840674585,0.8467556335
M2,P2,1.1363958732,0.8297532271
M2,M1,1.1000491734,0.8417118638
