prey,predator,prey_payoff,predator_payoff
P1,P1,1.1157659045,0.8413145865
D,D,1.0739506735,0.8607297420
N,N,1.1319067092,0.8199843762
P1,D,0.9802276963,0.8829252874
N,M2,1.0769363438,0.8387432832
N,P1,1.0663706722,0.8430623780
N,M1,1.0870571108,0.8372318263
D,M2,1.0628978197,0.8728835131
N,P2,1.0977873204,0.8328551882
D,P2,1.0795341113,0.8658718355
D,M1,1.1201338944,0.8455527620
P1,N,1.1545068867,0.8312607813
D,P1,1.1138021595,0.8479236623
N,D,1.0179837742,0.8579199471
D,N,1.0559556569,0.8797542092
P1,P2,0.9228929081,0.9180695655
P1,M1,1.1305201726,0.8368757135
P2,D,1.0789416838,0.8414373069
P1,M2,0.9020506449,0.9245064235
P2,P2,1.1092820817,0.8332468318
M1,M1,1.1131486551,0.8369946118
P2,N,1.1052700259,0.8380338441
P2,M1,1.1253836069,0.8267463128
P2,M2,1.0899610644,0.8391943094
M1,D,0.9685251357,0.8829253076
M1,N,1.1190355870,0.8378846451
M1,P1,1.0941478335,0.8428153850
M1,P2,0.9033028996,0.9201975496
P2,P1,1.1159265461,0.8295466415
M2,D,1.0921551651,0.8414362676
M2,N,1.1405770730,0.8313899943
M1,M2,0.9183689405,0.9120157299
M2,M2,1.1118640732,0.8375915853
M2,P2,1.1268109940,0.8330765364
M2,P1,1.1306203878,0.8302989424
M2,M1,1.1358043203,0.8290538468
