prey,predator,payoff
D,D,0.9086692944
N,N,0.9845950436
P1,P1,0.9334831823
D,M2,0.9444003084
N,M2,0.9371631626
D,P2,0.9331072205
D,P1,0.9312378825
P1,D,0.8929576665
P1,N,0.9736026136
N,P1,0.9440450287
N,M1,0.9444371708
D,M1,0.9163986770
N,P2,0.9378819781
D,N,0.9521477868
N,D,0.7981980041
P1,P2,0.9210318261
P1,M2,0.9319843852
P2,P2,0.9350322157
P2,D,0.8931778108
P1,M1,0.9242496657
M1,M1,0.9302342690
P2,N,0.9754620986
P2,M2,0.9420216834
M1,D,0.9019896620
M1,N,0.9739644041
M1,P1,0.9375958066
P2,M1,0.9376849053
M1,P2,0.9302563414
P2,P1,0.9461322465
M2,D,0.8839162139
M2,N,0.9729942185
M1,M2,0.9427679648
M2,M2,0.9378557003
M2,P1,0.9443781032
M2,P2,0.9292443488
M2,M1,0.9359567413
