prey,predator,payoff
N,N,0.9381186421
D,D,0.6333328159
P1,P1,0.9173213790
N,P1,0.9524379782
N,M2,0.9403068099
D,M2,0.8785301536
N,P2,0.9425463316
D,P1,0.7712418453
P1,N,0.9089441221
N,M1,0.9511899093
D,M1,0.6947237218
D,P2,0.8364299313
P1,D,0.9325183034
D,N,0.7277637001
N,D,0.9562307208
P1,P2,0.9235927643
P1,M1,0.9022971573
P2,P2,0.9121184578
P1,M2,0.9312997939
P2,D,0.8870298522
M1,M1,0.9039216818
M1,D,0.9383791812
P2,N,0.9284636712
P2,M2,0.9265281552
P2,M1,0.9010772855
M1,N,0.9011477201
M1,P1,0.9201744555
M1,P2,0.9303450336
M2,D,0.8821927424
P2,P1,0.9124580559
M2,N,0.9360548700
M1,M2,0.9369076386
M2,M2,0.9250243203
M2,P2,0.9108589642
M2,P1,0.9208835318
M2,M1,0.9092029721
