prey,predator,payoff
D,D,0.7231785219
N,N,0.9708910948
P1,P1,0.9553969638
N,M2,0.9074951847
P1,N,0.8847441029
P1,D,0.9708046234
N,M1,0.9133607983
N,P1,0.9030175446
N,P2,0.9180948014
D,P1,0.6657989499
D,M2,0.6084963794
D,M1,0.5994904176
D,P2,0.5626062835
N,D,0.8354643255
P1,P2,0.9498761989
D,N,0.3530362040
P1,M1,0.9446124742
P2,P2,0.9546890614
P1,M2,0.9711574869
P2,D,0.9197916958
M1,M1,0.9426544656
M1,D,0.9701969235
P2,M2,0.9671712151
P2,N,0.9593633561
M1,N,0.9345551246
M1,P1,0.9573899405
P2,M1,0.8450294034
M1,P2,0.9673644304
M2,N,0.9309456367
M2,D,0.9300937098
P2,P1,0.8953579627
M1,M2,0.9751079453
M2,M2,0.9671897170
M2,P1,0.8973538788
M2,P2,0.9576104350
M2,M1,0.8685321132
