prey,predator,payoff
N,N,0.9135885855
P1,P1,0.9319300645
N,M1,0.9032107571
N,M2,0.8888946201
N,P1,0.8907053607
P1,D,0.9570368252
N,P2,0.9031627583
P1,N,0.9119988019
D,N,0.4614262038
N,D,0.8864264196
P1,P2,0.9535124403
D,M2,0.4616570121
D,P2,0.3580119534
P1,M1,0.9064938029
P2,P2,0.9307566799
P1,M2,0.9524413599
P2,D,0.8759416490
P2,N,0.9520256034
P2,M2,0.9551854284
P2,M1,0.8577469413
M1,D,0.9536511035
M1,N,0.9217161342
P2,P1,0.9125502913
M1,P1,0.9395679177
M1,M1,0.9124701756
M2,N,0.9475718823
M1,P2,0.9446305754
M2,M2,0.9502571211
M2,P1,0.9060842255
M2,D,0.8979548325
M1,M2,0.9283670279
M2,P2,0.9302262981
M2,M1,0.8666784681
D,P1,0.3645841896
D,M1,0.2536723186
D,D,0.2987920859
