  Solving 36 payoff case(s) with 16 worker(s).
  Finished case 1/36: prey=N, predator=N: E=0.992459
  Finished case 2/36: prey=N, predator=M2: E=0.985872
  Finished case 3/36: prey=P1, predator=N: E=0.812559
  Finished case 4/36: prey=N, predator=P1: E=0.973169
  Finished case 5/36: prey=N, predator=P2: E=0.980850
  Finished case 6/36: prey=N, predator=M1: E=0.968360
  Finished case 7/36: prey=N, predator=D: E=0.969865
  Finished case 8/36: prey=P1, predator=P2: E=0.934090
  Finished case 9/36: prey=P1, predator=M2: E=0.934131
  Finished case 10/36: prey=P2, predator=N: E=0.826496
  Finished case 11/36: prey=D, predator=N: E=0.683801
  Finished case 12/36: prey=M1, predator=N: E=0.738121
  Finished case 13/36: prey=M1, predator=P2: E=0.931187
  Finished case 14/36: prey=P2, predator=M1: E=0.878491
  Finished case 15/36: prey=P1, predator=D: E=0.919694
  Finished case 16/36: prey=P2, predator=P1: E=0.852661
  Finished case 17/36: prey=M1, predator=M2: E=0.899615
  Finished case 18/36: prey=M2, predator=N: E=0.901192
  Finished case 19/36: prey=M1, predator=D: E=0.885150
  Finished case 20/36: prey=M2, predator=P1: E=0.925010
  Finished case 21/36: prey=M2, predator=M1: E=0.924571
