generation,species,regime,share,percentage
0,prey,D,0.16666666666666669,16.666666666666668
0,prey,N,0.16666666666666669,16.666666666666668
0,prey,P1,0.16666666666666669,16.666666666666668
0,prey,P2,0.16666666666666669,16.666666666666668
0,prey,M1,0.16666666666666669,16.666666666666668
0,prey,M2,0.16666666666666669,16.666666666666668
0,predator,D,0.16666666666666669,16.666666666666668
0,predator,N,0.16666666666666669,16.666666666666668
0,predator,P1,0.16666666666666669,16.666666666666668
0,predator,P2,0.16666666666666669,16.666666666666668
0,predator,M1,0.16666666666666669,16.666666666666668
0,predator,M2,0.16666666666666669,16.666666666666668
1,prey,D,0.2666666666666667,26.66666666666667
1,prey,N,0.06666666666666668,6.666666666666668
1,prey,P1,0.16666666666666669,16.666666666666668
1,prey,P2,0.16666666666666669,16.666666666666668
1,prey,M1,0.16666666666666669,16.666666666666668
1,prey,M2,0.16666666666666669,16.666666666666668
1,predator,D,0.06666666666666668,6.666666666666668
1,predator,N,0.16666666666666669,16.666666666666668
1,predator,P1,0.16666666666666669,16.666666666666668
1,predator,P2,0.16666666666666669,16.666666666666668
1,predator,M1,0.2666666666666667,26.66666666666667
1,predator,M2,0.16666666666666669,16.666666666666668
2,prey,D,0.3233333333333334,32.33333333333334
2,prey,N,0.010000000000000002,1.0000000000000002
2,prey,P1,0.16666666666666669,16.666666666666668
2,prey,P2,0.16666666666666669,16.666666666666668
2,prey,M1,0.16666666666666669,16.666666666666668
2,prey,M2,0.16666666666666669,16.666666666666668
2,predator,D,0.010000000000000002,1.0000000000000002
2,predator,N,0.16666666666666669,16.666666666666668
2,predator,P1,0.22333333333333336,22.333333333333336
2,predator,P2,0.16666666666666669,16.666666666666668
2,predator,M1,0.2666666666666667,26.66666666666667
2,predator,M2,0.16666666666666669,16.666666666666668
3,prey,D,0.4233333333333334,42.33333333333334
3,prey,N,0.010000000000000002,1.0000000000000002
3,prey,P1,0.16666666666666669,16.666666666666668
3,prey,P2,0.16666666666666669,16.666666666666668
3,prey,M1,0.06666666666666668,6.666666666666668
3,prey,M2,0.16666666666666669,16.666666666666668
3,predator,D,0.010000000000000002,1.0000000000000002
3,predator,N,0.16666666666666669,16.666666666666668
3,predator,P1,0.32333333333333336,32.333333333333336
3,predator,P2,0.06666666666666668,6.666666666666668
3,predator,M1,0.2666666666666667,26.66666666666667
3,predator,M2,0.16666666666666669,16.666666666666668
4,prey,D,0.48000000000000004,48.00000000000001
4,prey,N,0.010000000000000002,1.0000000000000002
4,prey,P1,0.16666666666666669,16.666666666666668
4,prey,P2,0.16666666666666669,16.666666666666668
4,prey,M1,0.010000000000000002,1.0000000000000002
4,prey,M2,0.16666666666666669,16.666666666666668
4,predator,D,0.010000000000000002,1.0000000000000002
4,predator,N,0.16666666666666669,16.666666666666668
4,predator,P1,0.38,38.0
4,predator,P2,0.010000000000000002,1.0000000000000002
4,predator,M1,0.2666666666666667,26.66666666666667
4,predator,M2,0.16666666666666669,16.666666666666668
5,prey,D,0.5800000000000001,58.00000000000001
5,prey,N,0.010000000000000002,1.0000000000000002
5,prey,P1,0.06666666666666668,6.666666666666668
5,prey,P2,0.16666666666666669,16.666666666666668
5,prey,M1,0.010000000000000002,1.0000000000000002
5,prey,M2,0.16666666666666669,16.666666666666668
5,predator,D,0.010000000000000002,1.0000000000000002
5,predator,N,0.2666666666666667,26.66666666666667
5,predator,P1,0.38,38.0
5,predator,P2,0.010000000000000002,1.0000000000000002
5,predator,M1,0.2666666666666667,26.66666666666667
5,predator,M2,0.06666666666666668,6.666666666666668
6,prey,D,0.6366666666666667,63.66666666666667
6,prey,N,0.010000000000000002,1.0000000000000002
6,prey,P1,0.010000000000000002,1.0000000000000002
6,prey,P2,0.16666666666666669,16.666666666666668
6,prey,M1,0.010000000000000002,1.0000000000000002
6,prey,M2,0.16666666666666669,16.666666666666668
6,predator,D,0.010000000000000002,1.0000000000000002
6,predator,N,0.3233333333333334,32.33333333333334
6,predator,P1,0.38,38.0
6,predator,P2,0.010000000000000002,1.0000000000000002
6,predator,M1,0.2666666666666667,26.66666666666667
6,predator,M2,0.010000000000000002,1.0000000000000002
7,prey,D,0.7366666666666667,73.66666666666667
7,prey,N,0.010000000000000002,1.0000000000000002
7,prey,P1,0.010000000000000002,1.0000000000000002
7,prey,P2,0.06666666666666668,6.666666666666668
7,prey,M1,0.010000000000000002,1.0000000000000002
7,prey,M2,0.16666666666666669,16.666666666666668
7,predator,D,0.01,1.0
7,predator,N,0.32333333333333336,32.333333333333336
7,predator,P1,0.47999999999999987,47.999999999999986
7,predator,P2,0.01,1.0
7,predator,M1,0.16666666666666669,16.666666666666668
7,predator,M2,0.01,1.0
8,prey,D,0.7933333333333333,79.33333333333333
8,prey,N,0.010000000000000002,1.0000000000000002
8,prey,P1,0.010000000000000002,1.0000000000000002
8,prey,P2,0.010000000000000002,1.0000000000000002
8,prey,M1,0.010000000000000002,1.0000000000000002
8,prey,M2,0.16666666666666669,16.666666666666668
8,predator,D,0.010000000000000002,1.0000000000000002
8,predator,N,0.4233333333333334,42.33333333333334
8,predator,P1,0.4799999999999999,47.99999999999999
8,predator,P2,0.010000000000000002,1.0000000000000002
8,predator,M1,0.0666666666666667,6.66666666666667
8,predator,M2,0.010000000000000002,1.0000000000000002
9,prey,D,0.8933333333333333,89.33333333333333
9,prey,N,0.010000000000000002,1.0000000000000002
9,prey,P1,0.010000000000000002,1.0000000000000002
9,prey,P2,0.010000000000000002,1.0000000000000002
9,prey,M1,0.010000000000000002,1.0000000000000002
9,prey,M2,0.06666666666666668,6.666666666666668
9,predator,D,0.010000000000000002,1.0000000000000002
9,predator,N,0.32333333333333336,32.333333333333336
9,predator,P1,0.58,57.99999999999999
9,predator,P2,0.010000000000000002,1.0000000000000002
9,predator,M1,0.0666666666666667,6.66666666666667
9,predator,M2,0.010000000000000002,1.0000000000000002
10,prey,D,0.95,95.0
10,prey,N,0.010000000000000002,1.0000000000000002
10,prey,P1,0.010000000000000002,1.0000000000000002
10,prey,P2,0.010000000000000002,1.0000000000000002
10,prey,M1,0.010000000000000002,1.0000000000000002
10,prey,M2,0.010000000000000002,1.0000000000000002
10,predator,D,0.010000000000000002,1.0000000000000002
10,predator,N,0.38000000000000006,38.00000000000001
10,predator,P1,0.58,57.99999999999999
10,predator,P2,0.010000000000000002,1.0000000000000002
10,predator,M1,0.010000000000000002,1.0000000000000002
10,predator,M2,0.010000000000000002,1.0000000000000002
11,prey,D,0.85,85.0
11,prey,N,0.010000000000000002,1.0000000000000002
11,prey,P1,0.010000000000000002,1.0000000000000002
11,prey,P2,0.010000000000000002,1.0000000000000002
11,prey,M1,0.010000000000000002,1.0000000000000002
11,prey,M2,0.11000000000000001,11.000000000000002
11,predator,D,0.010000000000000002,1.0000000000000002
11,predator,N,0.28,28.000000000000004
