round,species,event,source_regime,target_regime,source_payoff,target_payoff,transferred_share,transferred_percentage
1,prey,1,N,D,0.9551482316432085,0.9226955306695679,0.1,10.0
1,predator,1,D,M1,0.9195707227965719,0.9531718883142036,0.1,10.0
2,prey,1,N,D,0.9616171515209595,0.9295082595634316,0.05666666666666668,5.666666666666668
2,predator,1,D,P1,0.921236496594011,0.9523276342936037,0.05666666666666668,5.666666666666668
3,prey,1,M1,D,0.9554332730461158,0.933760021470712,0.1,10.0
3,predator,1,P2,P1,0.939033447460196,0.9528427253465992,0.1,10.0
4,prey,1,M1,D,0.96575460767829,0.9456506571731591,0.05666666666666668,5.666666666666668
4,predator,1,P2,P1,0.9433740105934751,0.9585952255561659,0.05666666666666668,5.666666666666668
5,prey,1,P1,D,0.9679046248863215,0.9500958631834064,0.1,10.0
5,predator,1,M2,N,0.9495750266297072,0.9615182841914589,0.1,10.0
6,prey,1,P1,D,0.9706037987863654,0.9551010775539153,0.05666666666666668,5.666666666666668
6,predator,1,M2,N,0.9521317641432586,0.9613350500297008,0.05666666666666668,5.666666666666668
7,prey,1,P2,D,0.965194922063187,0.9576954068743936,0.1,10.0
7,predator,1,M1,P1,0.9584208026639321,0.9620129554631522,0.1,10.0
8,prey,1,P2,D,0.9665113003707717,0.9585055774921281,0.05666666666666668,5.666666666666668
8,predator,1,M1,N,0.9569504392747887,0.9619984033145863,0.1,10.0
9,prey,1,M2,D,0.9639250957407322,0.9548310587015211,0.1,10.0
9,predator,1,N,P1,0.9531242123144674,0.960839504753161,0.1,10.0
10,prey,1,M2,D,0.9651691491034465,0.9591816761457247,0.05666666666666668,5.666666666666668
10,predator,1,M1,N,0.9539986741691631,0.9622043261482384,0.05666666666666669,5.666666666666669
11,prey,1,D,M2,0.9590325011927268,0.9668676724438845,0.1,10.0
11,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
12,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
12,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
13,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
13,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
14,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
14,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
15,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
15,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
16,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
16,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
17,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
17,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
18,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
18,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
19,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
19,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
20,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
20,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
21,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
21,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
22,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
22,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
23,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
23,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
24,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
24,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
25,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
25,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
26,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
26,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
27,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
27,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
28,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
28,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
29,prey,1,D,M2,0.9590325011927268,0.9668676724438844,0.1,10.0
29,predator,1,N,P1,0.9567131911874068,0.9624582146577914,0.1,10.0
30,prey,1,M2,D,0.9643790982820454,0.9590584057981134,0.1,10.0
30,predator,1,P1,N,0.9585715913978741,0.9665685703783149,0.1,10.0
