prey,predator,prey_payoff,predator_payoff
N,N,0.8691910001,1.0371095147
D,D,0.8788088483,1.0399388531
P1,P1,0.8692457805,1.0453253121
D,M2,0.8581617584,1.0564416182
N,M2,0.8444822733,1.0482005786
D,P2,0.8725516985,1.0486826769
P1,D,0.8875666262,1.0321625187
D,P1,0.8473283360,1.0596821195
N,P2,0.8804018556,1.0304769566
N,P1,0.8315346591,1.0552218706
D,M1,0.8610704355,1.0522166815
P1,N,0.8697324789,1.0486439309
N,M1,0.8646114535,1.0391145731
D,N,0.6094903586,1.1908890403
N,D,0.8245132960,1.0570691776
P1,P2,0.8573742563,1.0535130123
P1,M2,0.8321566397,1.0657987449
P1,M1,0.8929068948,1.0337953836
P2,P2,0.8831349595,1.0321107362
P2,D,0.8668771016,1.0392692834
M1,M1,0.8771134794,1.0382147599
P2,M1,0.8759934523,1.0358928602
P2,N,0.7930523960,1.0822574540
M1,N,0.7979894582,1.0822941815
M1,D,0.8820601299,1.0323124615
P2,M2,0.8583773669,1.0436449964
M1,P2,0.8384371846,1.0597602186
M1,P1,0.8535341877,1.0491242468
M2,D,0.8721552884,1.0391950350
P2,P1,0.8234560836,1.0625059233
M2,N,0.8643535632,1.0486629281
M1,M2,0.6926277460,1.1384320272
M2,M2,0.8749839584,1.0393734013
M2,P1,0.8717193508,1.0410532909
M2,P2,0.9003842478,1.0268430818
M2,M1,0.7756857353,1.0948829582
