prey,predator,prey_payoff,predator_payoff
D,D,1.1497921603,0.8366946622
N,N,1.1959025253,0.7950791455
P1,P1,1.1432563820,0.8340361992
D,M2,1.1437704818,0.8442245997
D,M1,1.1798540573,0.8253136995
D,P1,1.1720135152,0.8285161261
D,P2,1.1559463299,0.8391014073
P1,N,1.2492651022,0.7939045326
N,M2,1.0978531908,0.8328614383
P1,D,1.1472974312,0.8305822787
N,P1,1.0875934874,0.8372617321
N,M1,1.1145548195,0.8276957409
N,P2,1.1250472919,0.8232665683
D,N,1.2737699737,0.7916151445
N,D,1.1197732304,0.8217351856
P1,P2,1.0902976619,0.8593492505
P1,M1,1.1599296844,0.8280651199
P1,M2,1.0565259449,0.8725641229
P2,P2,1.1359428527,0.8256849778
P2,D,1.1323857276,0.8247777540
M1,M1,1.1400960690,0.8296168771
P2,N,1.2240035405,0.7909419558
M1,N,1.2388507377,0.7909214974
P2,M2,1.1207645451,0.8310386846
M1,D,1.1338601589,0.8304856868
M1,P1,1.1251171513,0.8348853446
P2,M1,1.1463192555,0.8199864119
M1,P2,1.0577178241,0.8668101710
M2,N,1.2345025724,0.7939133944
M2,D,1.1460713228,0.8248539778
P2,P1,1.1412350145,0.8214023038
M1,M2,1.0273078675,0.8784839080
M2,M2,1.1390759406,0.8301129418
M2,P1,1.1524077658,0.8232957633
M2,P2,1.1560186757,0.8240173921
M2,M1,1.1574596277,0.8218836446
