prey,predator,prey_payoff,predator_payoff
N,N,1.1034541116,0.8309959057
D,D,1.0852488008,0.8574587228
P1,P1,1.1177411829,0.8406249216
N,M2,1.0514408261,0.8475843928
P1,D,1.0225866858,0.8684386766
N,P1,1.0402394589,0.8520260872
N,M1,1.0688389242,0.8438401162
D,M2,1.0002316836,0.8963321614
D,M1,1.0677535487,0.8655880281
N,P2,1.0801551774,0.8393348235
D,P1,1.0562332207,0.8698327410
P1,N,1.1585093186,0.8281442737
D,P2,1.0267592859,0.8859813437
N,D,1.0059963886,0.8622798915
D,N,1.0028914806,0.8971080086
P1,P2,1.1331863196,0.8370704434
P1,M1,1.1360927311,0.8351066646
P1,M2,1.1123940077,0.8430422836
P2,P2,1.1121123953,0.8321664936
P2,D,1.0732212637,0.8432713635
M1,M1,1.1162400153,0.8359850473
P2,N,1.1247952593,0.8280511352
P2,M1,1.0887461009,0.8399260816
M1,D,1.0103719670,0.8684398536
P2,M2,1.0723396981,0.8440620643
M1,N,1.1389517663,0.8278126228
M1,P1,1.0772113624,0.8475265442
M1,P2,1.1120190717,0.8381588754
M2,N,1.1444996409,0.8282535300
M2,D,1.0863580183,0.8432744389
P2,P1,1.0587675070,0.8494479831
M1,M2,1.0630593253,0.8529629960
M2,M2,1.1135635283,0.8368408470
M2,P2,1.1323564791,0.8311399428
M2,P1,1.0927267149,0.8436571036
M2,M1,1.1066916776,0.8392912390
