prey,predator,prey_payoff,predator_payoff
N,N,1.1573614793,0.8100125650
D,D,1.0906111140,0.8537786351
P1,P1,1.1397326738,0.8339126619
N,M2,1.1244063985,0.8217116429
D,M2,1.0950537082,0.8623268669
N,P2,1.1322136649,0.8200342805
N,M1,1.1224151146,0.8241870785
N,P1,1.1148896637,0.8257824992
D,P1,1.1547732212,0.8330502448
P1,N,1.2374837862,0.7982305290
D,M1,1.1612410290,0.8302985070
D,P2,1.1072338557,0.8571571931
P1,D,1.0616266566,0.8627960185
D,N,1.2734586871,0.7919172578
N,D,1.0773735134,0.8378866150
P1,P2,0.9441061554,0.9157397205
P1,M1,1.1541004481,0.8291133288
P2,P2,1.1320473166,0.8257967627
P1,M2,0.9153641104,0.9260953297
P2,D,1.1097624559,0.8327263825
M1,M1,1.1365626776,0.8294820794
P2,N,1.2216219600,0.7918973700
M1,P1,1.1221932819,0.8342886263
M1,N,1.2364366892,0.7918782425
P2,M2,1.1174656366,0.8306811077
M1,D,1.0491270438,0.8627976957
M1,P2,0.9177603794,0.9206090872
P2,M1,1.1617854539,0.8142457903
M2,N,1.2228320801,0.7982501531
M2,D,1.1233526002,0.8327289156
P2,P1,1.1607715063,0.8139121539
M1,M2,0.8956432103,0.9277105083
M2,M2,1.1351884166,0.8302357764
M2,P2,1.1497615348,0.8253607192
M2,P1,1.1671269065,0.8180437484
M2,M1,1.1681160238,0.8184390845
