prey,predator,prey_payoff,predator_payoff
D,D,0.7685904434,1.0967466667
D,P1,0.6918020544,1.1353287978
D,P2,0.8230208756,1.0732551018
D,N,0.5785299972,1.2059683340
D,M1,0.7029332280,1.1301194052
N,N,0.8036272890,1.0680124030
D,M2,0.8066206065,1.0820766351
N,D,0.8158010026,1.0428349058
N,P1,0.7673741350,1.0769826435
N,P2,0.8323836223,1.0451361767
N,M1,0.8205552252,1.0507418603
N,M2,0.7782061261,1.0719442355
P1,P1,0.7721352557,1.0920454090
P1,D,0.6999416933,1.1248632905
P1,N,0.8444854148,1.0602920713
P1,P2,0.7169955473,1.1238673896
P1,M2,0.6415681428,1.1629214246
P1,M1,0.7547396348,1.1019098009
P2,D,0.8927531856,1.0130770038
P2,N,0.7746474560,1.0885769303
P2,P2,0.7896714716,1.0779624607
P2,M1,0.8522774639,1.0359620628
P2,P1,0.8281152338,1.0488034357
P2,M2,0.7214260542,1.1107820986
M1,D,0.6958216463,1.1248868154
M1,N,0.7811050370,1.0877691404
M1,P1,0.7167837803,1.1154970882
M1,P2,0.6490214607,1.1572641180
M1,M1,0.7805715028,1.0852466507
M2,D,0.8981566166,1.0130715488
M1,M2,0.5341038615,1.2145292982
M2,N,0.8386696770,1.0606076847
M2,P1,0.8508999810,1.0396899878
M2,P2,0.7613519291,1.0960832857
M2,M2,0.7812833067,1.0847313889
M2,M1,0.8560629044,1.0370867052
