prey,predator,prey_payoff,predator_payoff
D,D,0.7659575069,1.0982321170
N,N,0.8054255777,1.0671964513
P1,P1,0.7760718119,1.0902739549
P1,D,0.7612879430,1.0968992336
N,P1,0.7624670428,1.0863071054
D,M2,0.7950308226,1.0870047039
N,P2,0.7903370462,1.0739728709
D,M1,0.7951188080,1.0840957966
D,P2,0.8092367009,1.0795020762
N,M2,0.7768935304,1.0788573128
N,M1,0.7758315830,1.0814637800
D,P1,0.7810501407,1.0915251493
P1,N,0.8199452905,1.0710268457
D,N,0.8249833588,1.0724841979
N,D,0.7480235697,1.0927771685
P1,P2,0.8044185284,1.0780087851
P1,M1,0.7899092840,1.0841291825
P1,M2,0.7904488124,1.0842190537
P2,D,0.7526014059,1.0940650004
P2,P2,0.7952113210,1.0753401388
M1,M1,0.7853630986,1.0829402909
P2,N,0.8105092941,1.0685353831
M1,P1,0.7717314034,1.0890508189
M1,D,0.7568492025,1.0969005566
M1,N,0.8155306984,1.0685433250
P2,M2,0.7815176167,1.0814878805
P2,M1,0.7808819595,1.0814508784
M1,P2,0.7998147039,1.0768407570
M2,D,0.7570425362,1.0940639629
M2,N,0.8149256066,1.0710188258
P2,P1,0.7672788684,1.0875531027
M1,M2,0.7860276708,1.0830275239
M2,M2,0.7858810415,1.0827059480
M2,P1,0.7716179688,1.0887758996
M2,P2,0.7997811289,1.0765238715
M2,M1,0.7854348495,1.0826346747
