prey,predator,payoff,prey_payoff,predator_payoff
D,D,0.8883676135,-0.8883676135,0.8883676135
N,N,0.9704856898,-0.9704856898,0.9704856898
P1,P1,0.9242993782,-0.9242993782,0.9242993782
N,P2,0.9117234567,-0.9117234567,0.9117234567
N,P1,0.9086284637,-0.9086284637,0.9086284637
N,M2,0.8964608863,-0.8964608863,0.8964608863
D,M1,0.9087373316,-0.9087373316,0.9087373316
P1,D,0.9075516061,-0.9075516061,0.9075516061
D,M2,0.8621411959,-0.8621411959,0.8621411959
D,P2,0.8461461839,-0.8461461839,0.8461461839
D,P1,0.9201778137,-0.9201778137,0.9201778137
P1,N,0.8999680872,-0.8999680872,0.8999680872
N,M1,0.9225955387,-0.9225955387,0.9225955387
D,N,0.7575687729,-0.7575687729,0.7575687729
N,D,0.8332038060,-0.8332038060,0.8332038060
P1,P2,0.8616727816,-0.8616727816,0.8616727816
P2,D,0.8573288281,-0.8573288281,0.8573288281
P2,P2,0.9207580678,-0.9207580678,0.9207580678
P1,M2,0.8550971566,-0.8550971566,0.8550971566
P1,M1,0.9217095614,-0.9217095614,0.9217095614
M1,M1,0.9146277799,-0.9146277799,0.9146277799
P2,N,0.9129647121,-0.9129647121,0.9129647121
P2,M2,0.9225033994,-0.9225033994,0.9225033994
M1,D,0.9089382504,-0.9089382504,0.9089382504
M1,N,0.8793039148,-0.8793039148,0.8793039148
M1,P2,0.8374957312,-0.8374957312,0.8374957312
P2,M1,0.8889424414,-0.8889424414,0.8889424414
M1,P1,0.9153813859,-0.9153813859,0.9153813859
M2,N,0.9268865539,-0.9268865539,0.9268865539
P2,P1,0.8903161013,-0.8903161013,0.8903161013
M2,D,0.8587264818,-0.8587264818,0.8587264818
M1,M2,0.8186364600,-0.8186364600,0.8186364600
M2,M2,0.9302145200,-0.9302145200,0.9302145200
M2,P1,0.9046555876,-0.9046555876,0.9046555876
M2,P2,0.9270468253,-0.9270468253,0.9270468253
M2,M1,0.9023248789,-0.9023248789,0.9023248789
