w1,w2,run_directory,remaining_pipeline_script,equilibrium_count,prey_consensus_leader,prey_consensus_probability_mean,prey_consensus_probability_min,prey_consensus_probability_max,prey_support_size_min,prey_support_size_max,prey_normalized_entropy_mean,predator_consensus_leader,predator_consensus_probability_mean,predator_consensus_probability_min,predator_consensus_probability_max,predator_support_size_min,predator_support_size_max,predator_normalized_entropy_mean,prey_expected_payoff_mean,prey_expected_payoff_min,prey_expected_payoff_max,predator_expected_payoff_mean,predator_expected_payoff_min,predator_expected_payoff_max
0,0,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0/run_remaining_pipeline.sh,1,P1,0.6032473232,0.6032473232,0.6032473232,2,2,0.3748678399,D,0.6656072413,0.6656072413,0.6656072413,2,2,0.3556537543,0.8777998161,0.8777998161,0.8777998161,1.0401991741,1.0401991741,1.0401991741
0,0.1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p1/run_remaining_pipeline.sh,1,P1,0.4541100574,0.4541100574,0.4541100574,3,3,0.5856314126,D,0.5081661766,0.5081661766,0.5081661766,3,3,0.5767049088,0.8744134182,0.8744134182,0.8744134182,1.0404902486,1.0404902486,1.0404902486
0,0.2,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p2,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p2/run_remaining_pipeline.sh,1,P1,0.4362782651,0.4362782651,0.4362782651,3,3,0.6003008367,M1,0.4670110213,0.4670110213,0.4670110213,3,3,0.5705895055,0.8707856724,0.8707856724,0.8707856724,1.0441920829,1.0441920829,1.0441920829
0,0.3,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p3,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p3/run_remaining_pipeline.sh,1,P1,0.8800405945,0.8800405945,0.8800405945,3,3,0.2444428529,M1,0.8205811744,0.8205811744,0.8205811744,3,3,0.3303647176,0.8638568836,0.8638568836,0.8638568836,1.0487788935,1.0487788935,1.0487788935
0,0.4,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p4,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p4/run_remaining_pipeline.sh,1,P1,0.6830004251,0.6830004251,0.6830004251,5,5,0.5856025400,N,0.6938906852,0.6938906852,0.6938906852,5,5,0.4331967729,0.8431364481,0.8431364481,0.8431364481,1.0597664982,1.0597664982,1.0597664982
0,0.5,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p5,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p5/run_remaining_pipeline.sh,1,P1,0.7935314430,0.7935314430,0.7935314430,3,3,0.2953055624,N,0.7707052831,0.7707052831,0.7707052831,3,3,0.3756520302,0.8288597307,0.8288597307,0.8288597307,1.0670742868,1.0670742868,1.0670742868
0,0.6,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p6,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p6/run_remaining_pipeline.sh,1,P1,0.8201841089,0.8201841089,0.8201841089,2,2,0.2629338407,N,0.8778882084,0.8778882084,0.8778882084,2,2,0.2071213157,0.8165223902,0.8165223902,0.8165223902,1.0739681329,1.0739681329,1.0739681329
0,0.7,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p7,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p7/run_remaining_pipeline.sh,1,P1,0.7028896105,0.7028896105,0.7028896105,3,3,0.3874051915,N,0.8335892309,0.8335892309,0.8335892309,3,3,0.2763000860,0.8067593627,0.8067593627,0.8067593627,1.0805648532,1.0805648532,1.0805648532
0,0.8,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p8,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p8/run_remaining_pipeline.sh,1,P2,0.4431422539,0.4431422539,0.4431422539,4,4,0.6983223358,N,0.5177856638,0.5177856638,0.5177856638,4,4,0.6264288896,0.8064958339,0.8064958339,0.8064958339,1.0785704919,1.0785704919,1.0785704919
0,0.9,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p9,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_0p9/run_remaining_pipeline.sh,1,D,0.7331890774,0.7331890774,0.7331890774,2,2,0.3237382347,M2,0.9170647364,0.9170647364,0.9170647364,2,2,0.1595528974,0.8225146334,0.8225146334,0.8225146334,1.0743045515,1.0743045515,1.0743045515
