prey,predator,prey_payoff,predator_payoff
D,D,0.8542738744,1.0539062977
D,P2,0.8424896581,1.0661714046
D,P1,0.8537559520,1.0564366778
D,N,0.7773044249,1.1028552509
D,M1,0.8639368325,1.0509222653
N,N,0.8229213215,1.0625193408
D,M2,0.8267320787,1.0746926641
N,D,0.7221283570,1.1108240916
N,P1,0.6896332745,1.1291370775
N,P2,0.7804820908,1.0827648784
N,M1,0.7591942194,1.0941289259
N,M2,0.7083899816,1.1192533264
P1,P1,0.8256709821,1.0679547868
P1,D,0.8595314682,1.0466162145
P1,N,0.8214864943,1.0749718629
P1,P2,0.8091294570,1.0796849638
P1,M1,0.8583195630,1.0509416789
P1,M2,0.7636836938,1.1029768670
P2,D,0.8007600969,1.0728269111
P2,N,0.8181153179,1.0691137680
P2,P2,0.8430509580,1.0532225572
P2,M1,0.7641297868,1.0940923814
P2,P1,0.7663464354,1.0919670439
P2,M2,0.8101144864,1.0702905538
M1,D,0.8537199784,1.0470097787
M1,N,0.8232021531,1.0691238235
M1,P1,0.8020497259,1.0772607626
M1,P2,0.7699698621,1.0974174045
M1,M1,0.8339814858,1.0607990444
M2,D,0.8040955456,1.0736161645
M1,M2,0.6082989056,1.1843150558
M2,N,0.8164023314,1.0749896404
M2,P1,0.7618729131,1.0976340239
M2,P2,0.8682925528,1.0428053722
M2,M2,0.8348121951,1.0603335380
M2,M1,0.6668696123,1.1506637879
