prey,predator,prey_payoff,predator_payoff
D,D,0.8369406687,1.0629168828
D,P1,0.8548558733,1.0565184378
D,P2,0.8321857059,1.0722084197
D,N,0.9889878184,0.9905664573
D,M1,0.8676239790,1.0494564191
N,N,0.9655247245,0.9874430762
D,M2,0.8169566472,1.0804849507
N,D,0.7360535905,1.1034700353
N,P1,0.6663869518,1.1425060905
N,P2,0.7693672320,1.0892560194
N,M1,0.7403628637,1.1049297865
N,M2,0.6935407741,1.1280136209
P1,D,0.8410438050,1.0564308833
P1,P1,0.8258193911,1.0681179664
P1,N,0.9832721563,0.9895457491
P1,P2,0.8060766527,1.0810916935
P1,M1,0.8619679927,1.0494747270
P1,M2,0.6882579292,1.1441490977
P2,D,0.8167695983,1.0631542766
P2,N,0.9716237249,0.9881762290
P2,P2,0.8427762698,1.0536745485
P2,P1,0.7547651853,1.0985917847
P2,M1,0.7451598890,1.1048820482
P2,M2,0.8020203864,1.0752021900
M1,D,0.8352014228,1.0569044407
M1,N,0.9776336126,0.9881782897
M1,P1,0.7915926519,1.0834076547
M1,P2,0.6946491675,1.1388350945
M1,M1,0.8327528071,1.0617320519
M2,D,0.8203793599,1.0638546818
M1,M2,0.6254709753,1.1758049656
M2,N,0.9772664311,0.9895415637
M2,P1,0.7443492955,1.1075927842
M2,P2,0.8708698337,1.0420062670
M2,M2,0.8358939510,1.0600296428
M2,M1,0.7091642841,1.1283762660
