prey,predator,prey_payoff,predator_payoff
D,D,0.8821870275,1.0396183332
D,P1,0.8667524846,1.0496353318
D,P2,0.9129316596,1.0278179564
D,N,0.8963403267,1.0379388248
D,M1,0.8831039004,1.0406418236
N,N,0.9137566700,1.0114933068
D,M2,0.9010612758,1.0341083731
N,D,0.6540055018,1.1494538979
N,P1,0.8350743063,1.0532845465
N,P2,0.8944193109,1.0215665085
N,M1,0.8819419844,1.0283082777
N,M2,0.8498946986,1.0450641607
P1,D,0.8795232200,1.0369931380
P1,P1,0.8960234568,1.0295969783
P1,N,0.9344743622,1.0131593042
P1,P2,0.9215847689,1.0190058890
P1,M2,0.9067688830,1.0261844891
P1,M1,0.8985213180,1.0292712679
P2,D,0.8241479175,1.0619303493
P2,N,0.9157309692,1.0154826624
P2,P2,0.9028750660,1.0203307455
P2,M1,0.8846498742,1.0298282245
P2,P1,0.8365256312,1.0558178302
P2,M2,0.8866257229,1.0277484827
M1,D,0.8738888805,1.0372299235
M1,N,0.9218451085,1.0152204108
M1,P1,0.8855349452,1.0311250893
M1,P2,0.9119092258,1.0205962677
M1,M1,0.8998518585,1.0247795754
M2,D,0.8285793089,1.0621869436
M1,M2,0.8642689287,1.0457024538
M2,N,0.9285913536,1.0132775596
M2,P1,0.8818170428,1.0340667733
M2,P2,0.9015952878,1.0248285772
M2,M2,0.8987348303,1.0253249307
M2,M1,0.7459582240,1.1094012501
