prey,predator,prey_payoff,predator_payoff
D,D,0.8780791961,1.0400388940
D,P1,0.8402077117,1.0632873980
D,P2,0.8681443561,1.0508299992
D,N,0.5992438732,1.1961538467
D,M1,0.8548217384,1.0553179489
D,M2,0.8537226228,1.0585956982
N,N,0.8707908890,1.0363781299
N,D,0.8628662539,1.0355869942
N,P1,0.8369516805,1.0524568151
N,P2,0.8784506855,1.0317243724
N,M1,0.8643691269,1.0393662480
N,M2,0.8501439504,1.0452617184
P1,D,0.8895079851,1.0311508311
P1,P1,0.8735638475,1.0432672569
P1,N,0.8739849316,1.0465543118
P1,P2,0.8581609799,1.0523948783
P1,M1,0.8970545234,1.0317891491
P1,M2,0.8196354396,1.0723993158
P2,D,0.8663719628,1.0395671108
P2,N,0.7883912403,1.0848985656
P2,P2,0.8881265450,1.0295965618
P2,P1,0.8349727270,1.0560776010
P2,M1,0.8864419069,1.0304209225
P2,M2,0.8625602179,1.0414037982
M1,D,0.8840993725,1.0312490918
M1,N,0.7933020596,1.0849351287
M1,P1,0.8578959107,1.0468247030
M1,P2,0.8261700239,1.0662411215
M1,M1,0.8819869099,1.0358022279
M2,D,0.8715941376,1.0395185773
M1,M2,0.6935543759,1.1374663965
M2,N,0.8685561596,1.0465868920
M2,P1,0.8809904267,1.0363060248
M2,P2,0.9049225767,1.0245790626
M2,M2,0.8794527970,1.0371952205
M2,M1,0.8074883398,1.0778964676
